Kanji,Furigana,Sound,Image,Meaning,Example Sentence,Example Sentence Mean Vietnamese,Example Sentence Mean English,Example Sentence Sound,Hanviet
辟易,へきえき,[sound:辟易.ogg],,"chùn bước lại, co rút người lại, lo lắng, băn khoăn",彼は人付き合いに辟易している。,Anh ta cảm thấy chán chường khi giao tiếp với người khác.,He's fed up with socializing.,[sound:彼は人付き合いに辟易している.ogg],"BÍCH,TỊCH DỊ,DỊCH"
繁盛,はんじょう,[sound:繁盛.ogg],"<img src=""繁盛.jpg"">",(buôn bán) phát đạt,今あまり繁盛していません。,Hiện tại không phát đạt lắm.,My business is slow right now.,[sound:今あまり繁盛していません.ogg],PHỒN THỊNH
改ざん,かいざん,[sound:改ざん.ogg],"<img src=""改ざん.jpg"">","làm giả, cải gian (giấy tờ)",私の同僚は報告書を改ざんした。,Đồng nghiệp của tôi đã làm giảnh biên tập báo cáo.,My colleague doctored the report.,[sound:私の同僚は報告書を改ざんした.ogg],CẢI
討論,とうろん,[sound:討論.ogg],"<img src=""討論.jpg"">",tranh luận,私たちはとても活発な討論をした。,Chúng tôi đã có cuộc thảo luận sôi nổi.,We had a very vigorous debate.,[sound:私たちはとても活発な討論をした.ogg],THẢO LUẬN
顧客層,こかくそう,[sound:顧客層.ogg],"<img src=""顧客層.jpg"">",lớp khách hàng,,,,,"CỐ  TẦNG,TẰNG"
トレンド,トレンド,[sound:トレンド.ogg],"<img src=""トレンド.jpg"">","xu hướng, khuynh hướng",ここでの問題は、社会のトレンドを概観できるような枠組みを創出することである。,Vấn đề ở đây là tạo ra một khung nhìn tổng quan về xu hướng xã hội.,The question here is one of creating the framework with which we can outline the social trend.,[sound:ここでの問題は、社会のトレンドを概観できるような枠組みを創出することである.ogg],
本性,ほんしょう,[sound:本性.ogg],"<img src=""本性.jpg"">",bản tính,わずかの言葉が人の本性を表すことがある。,Một vài từ có thể phản ánh bản chất con người.,A few words may betray a man's true character.,[sound:わずかの言葉が人の本性を表すことがある.ogg],"BẢN,BỔN TÍNH,TÁNH"
設ける,もうける,[sound:設ける.ogg],,thiết lập,イギリスは多くの植民地を設けた。,Anh đã thành lập nhiều thuộc địa.,Britain established many colonies.,[sound:イギリスは多くの植民地を設けた.ogg],THIẾT
正当,せいとう,[sound:正当.ogg],"<img src=""正当.jpg"">","chính đáng, công chính, ngay thẳng",先生は彼女に正当な取り扱いをしなかった。,Giáo viên đã không đối xử công bằng với cô ấy.,The teacher didn't do her justice.,[sound:先生は彼女に正当な取り扱いをしなかった.ogg],CHÍNH ĐƯƠNG
酷,こく,[sound:酷.ogg],"<img src=""酷.jpg"">","kinh khủng, tàn khốc",,,,,
徹夜,てつや,[sound:徹夜.ogg],"<img src=""徹夜.jpg"">","thức trắng đêm, thức thâu đêm",私はよく徹夜する。,Tôi thường thức trắng đêm.,I often stay up all night.,[sound:私はよく徹夜する.ogg],TRIỆT DẠ
戸棚,とだな,[sound:戸棚.ogg],"<img src=""戸棚.jpg"">","tủ (chén, quần áo)",この本は戸棚の上です。,Cuốn sách này đặt trên kệ tủ.,This book goes on the top shelf.,[sound:この本は戸棚の上です.ogg],HỘ BẰNG
ふらふら,ふらふら,[sound:ふらふら.ogg],"<img src=""ふらふら.jpg"">","lắc qua lắc lại, loạng choạng",ワインの飲みすぎでふらふらになった。,Tôi trở nên chóng mặt sau khi uống quá nhiều rượu.,He was groggy from too much wine.,[sound:ワインの飲みすぎでふらふらになった.ogg],
無敵,むてき,[sound:無敵.ogg],,vô địch,,,,, ĐỊCH
証,あかし,[sound:証.ogg],"<img src=""証.jpg"">","bằng chứng, dấu hiệu",わたしたちは、知っていることを話し、見たことをあかししているのに、あなたがたは、わたしたちのあかしを受け入れません。,"Chúng tôi nói về những điều chúng tôi biết và chứng kiến, nhưng các bạn không chấp nhận lời chứng của chúng tôi.","We speak that we do know, and testify that we have seen; and ye receive not our witness.",[sound:わたしたちは、知っていることを話し、見たことをあかししているのに、あなたがたは、わたしたちのあかしを受け入れません.ogg],CHỨNG
当たり前,あたりまえ,[sound:当たり前.ogg],"<img src=""当たり前.jpg"">","đương nhiên, hiển nhiên",我々は彼が成功したのは当たり前だと思った。,Chúng tôi nghĩ rằng việc anh ấy thành công là điều dễ hiểu.,We took his success for granted.,[sound:我々は彼が成功したのは当たり前だと思った.ogg],ĐƯƠNG TIỀN
他人,たにん,[sound:他人.ogg],"<img src=""他人.jpg"">","người ngoài, người dưng",彼女はもっと他人の言うことを聞くべきだ。,Cô ấy nên lắng nghe người khác nhiều hơn.,She should listen more to other people.,[sound:彼女はもっと他人の言うことを聞くべきだ.ogg],THA NHÂN
ジャンル,ジャンル,[sound:ジャンル.ogg],"<img src=""ジャンル.jpg"">","chủng loại, thể loại",このジャンルの曲が好きです。,Tôi thích những bài hát thuộc thể loại này.,I like this kind of music.,[sound:このジャンルの曲が好きです.ogg],
種類,しゅるい,[sound:種類.ogg],"<img src=""種類.jpg"">","loại, thể loại",破壊の結果、毎日５０種類もの野生の動植物が消滅していると見積もられている。,"Kết quả của sự phá hủy, mỗi ngày có khoảng 50 loài động và thực vật hoang dã đang biến mất.","It has been estimated that, as a result of the destruction, fifty species of wildlife are disappearing from the earth each day.",[sound:破壊の結果、毎日５０種類もの野生の動植物が消滅していると見積もられている.ogg],CHỦNG LOẠI
尊敬語,そんけいご,[sound:尊敬語.ogg],"<img src=""尊敬語.jpg"">",từ kính ngữ,目上の人のすることについて話す時、尊敬語を使います。,"Khi nói về hành động của người có vị trí cao hơn, chúng ta sử dụng ngôn ngữ kính ngữ.","When speaking about your superiors' actions, you use respectful language.",[sound:目上の人のすることについて話す時、尊敬語を使います.ogg],TÔN KÍNH NGỮ
謙譲語,けんじょうご,[sound:謙譲語.ogg],"<img src=""謙譲語.jpg"">","từ khiêm tốn, khiêm nhường ngữ",,,,,KHIÊM NHƯỢNG NGỮ
丁寧語,ていねいご,[sound:丁寧語.ogg],"<img src=""丁寧語.jpg"">",từ lễ phép,ある意味では、丁寧語は気さくな雰囲気を壊す。,"Một mặt, ngôn ngữ lịch sự có thể làm mất đi không khí thoải mái.","Polite language, in a sense, spoils a casual atmosphere.",[sound:ある意味では、丁寧語は気さくな雰囲気を壊す.ogg],ĐINH NINH NGỮ
瞬時,しゅんじ,[sound:瞬時.ogg],"<img src=""瞬時.jpg"">",tức thời,コンピューターは、非常に複雑な仕事を瞬時にすることができる。,Máy tính có thể thực hiện công việc rất phức tạp trong khoảnh khắc.,Computers are capable of doing very complicated work in a split second.,[sound:コンピューターは、非常に複雑な仕事を瞬時にすることができる.ogg],"THUẤN THỜI,THÌ"
切り替える,きりかえる,[sound:切り替える.ogg],"<img src=""切り替える.jpg"">","chuyển đổi, đổi qua cái khác",,,,,THIẾT THẾ
誤用,ごよう,[sound:誤用.ogg],"<img src=""誤用.jpg"">",dùng nhầm,その語は誤用されやすい。,Từ đó thường bị sử dụng sai.,The word lends itself to misuse by beginners.,[sound:その語は誤用されやすい.ogg], DỤNG
便箋,びんせん,[sound:便箋.ogg],"<img src=""便箋.jpg"">",giấy viết thư,その便せんには校章が打ち出しにされている。,Có huy hiệu trường được in trên tờ thiếp đó.,The note is embossed with the school emblem.,[sound:その便せんには校章が打ち出しにされている.ogg], 
綴る,つづる,[sound:綴る.ogg],,(viết) nối liền,靜子が季節の移ろいを詩に綴りました。,Shizuko đã viết thành thơ sự thay đổi của mùa.,Shizuko composed a poem about the change of the seasons.,[sound:靜子が季節の移ろいを詩に綴りました.ogg],
宿命,しゅくめい,[sound:宿命.ogg],,"định mệnh, số phận",洪水はかつてはこの地方には宿命であった。,Lũ lụt đã từng là số phận của vùng này.,"Previously, floods were fate for the region.",[sound:洪水はかつてはこの地方には宿命であった.ogg],"TÚC,TÚ MỆNH"
仕様,しよう,[sound:仕様.ogg],"<img src=""仕様.jpg"">","phương cách, cách thức",仕様、価格は変更することがあります。,Có thể thay đổi thông số kỹ thuật và giá cả.,Specifications and price are subject to change.,[sound:仕様、価格は変更することがあります.ogg],SĨ DẠNG
ぐっと,ぐっと,[sound:ぐっと.ogg],"<img src=""ぐっと.jpg"">",dồn hết sức (để làm gì đó),明け方近くは、ぐっと冷え込む。,"Vào gần buổi sáng, trời trở nên lạnh hơn đáng kể.",It gets extremely cold toward dawn.,[sound:明け方近くは、ぐっと冷え込む.ogg],
前提,ぜんてい,[sound:前提.ogg],"<img src=""前提.jpg"">",tiền đề,私たちは結婚を前提として交際しています。,Chúng tôi đang hẹn hò với giả định là sẽ kết hôn.,We are dating with a view to marriage.,[sound:私たちは結婚を前提として交際しています.ogg],TIỀN 
タイミング,タイミング,[sound:タイミング.ogg],"<img src=""タイミング.jpg"">","thời khắc, đúng lúc",その論文は教授の誕生日とタイミングが合うように出版された。,Bài báo được xuất bản sao cho phù hợp với sinh nhật của giáo sư.,Publication of the article was timed to coincide with the professor's birthday.,[sound:その論文は教授の誕生日とタイミングが合うように出版された.ogg],
未だ,まだ,[sound:未だ.ogg],,vẫn chưa,私はまだその問題が解けない。,Tôi vẫn chưa giải quyết được vấn đề đó.,I haven't been able to solve the problem yet.,[sound:私はまだその問題が解けない.ogg],"VỊ,MÙI"
俯く,うつむく,[sound:俯く.ogg],,cúi mặt,言ってから、まゆちゃんは恥ずかしそうに俯いてしまう。,"Sau khi nói, Mayu-chan nhìn xuống với vẻ ngại ngùng.","Having said it, Mayu hangs her head in embarrassment.",[sound:言ってから、まゆちゃんは恥ずかしそうに俯いてしまう.ogg],PHỦ
ちょくちょく,ちょくちょく,[sound:ちょくちょく.ogg],,"thỉnh thoảng, lặp đi lặp lại",だってお隣さんだし。ちょくちょくお邪魔するから。,Vì anh ta là hàng xóm của tôi. Tôi thường xuyên ghé thăm.,"Well, we're neighbours. I'll be popping over all the time.",[sound:だってお隣さんだしちょくちょくお邪魔するから.ogg],
てんで,てんで,[sound:てんで.ogg],"<img src=""てんで.jpg"">","hoàn toàn, toàn bộ",てんで見当つきません。,Tôi hoàn toàn không có đầu óc để đoán.,I don't have the slightest idea.,[sound:てんで見当つきません.ogg],
同感,どうかん,[sound:同感.ogg],"<img src=""同感.jpg"">",đồng cảm,全く同感です。,Tôi hoàn toàn đồng ý.,I agree completely.,[sound:全く同感です.ogg],ĐỒNG CẢM
馴れ馴れしい,なれなれしい,[sound:馴れ馴れしい.ogg],,"(thái độ) xuề xòa, quá thân thiết",彼は私の妻になれなれしすぎだ。,Anh ấy quá quen thuộc với vợ tôi.,He is getting far too familiar with my wife.,[sound:彼は私の妻になれなれしすぎだ.ogg],THUẦN THUẦN
逃げ出す,にげだす,[sound:逃げ出す.ogg],,bỏ chạy,その男は町から逃げ出した。,Người đàn ông đó đã chạy trốn khỏi thành phố.,The man got away from the city.,[sound:その男は町から逃げ出した.ogg],ĐÀO XUẤT
強請る,ねだる,[sound:強請る.ogg],,"giành giật, chiếm đoạt (bằng cách cưỡng chế)",彼は父にねだってとうとう新車を買ってもらった。,Anh ấy đã mặt dày xin bố mua chiếc xe mới cuối cùng.,He finally talked his father into buying a new car.,[sound:彼は父にねだってとうとう新車を買ってもらった.ogg],CƯỜNG THỈNH
待ち遠しい,まちどおしい,[sound:待ち遠しい.ogg],,chờ đợi mỏi mòn,パーティーが待ち遠しくて仕方ない。,Tôi không thể chờ đợi đến buổi tiệc.,I just can't wait for the party.,[sound:パーティーが待ち遠しくて仕方ない.ogg],ĐÃI VIỄN
密集,みっしゅう,[sound:密集.ogg],"<img src=""密集.jpg"">","đông đúc, chen chúc nhau",この森には野ブドウが密集して生えている。,Cây nho hoang dã mọc chồng chất trong khu rừng này.,There is a dense growth of vines in this forest.,[sound:この森には野ブドウが密集して生えている.ogg],MẬT TẬP
もはや,もはや,[sound:もはや.ogg],,(cái gì đó) trôi qua nhanh,もはや言うことはない。,Không có gì để nói thêm.,I have nothing further to say.,[sound:もはや言うことはない.ogg],
役場,やくば,[sound:役場.ogg],"<img src=""役場.jpg"">",trụ sở,,,,, TRƯỜNG
屋敷,やしき,[sound:屋敷.ogg],"<img src=""屋敷.jpg"">",khuôn viên ngôi nhà,彼はいなかの屋敷に住んでいる。,Anh ấy sống trong một căn nhà ở nông thôn.,He lives on his country estate.,[sound:彼はいなかの屋敷に住んでいる.ogg],ỐC PHU
気まずい,きまずい,[sound:気まずい.ogg],"<img src=""気まずい.jpg"">","khó xử, ngại",私は気まずい思いで体がほてった。,Tôi cảm thấy khó xử và cơ thể tôi bốc cháy.,I was feverish with embarrassment.,[sound:私は気まずい思いで体がほてった.ogg],KHÍ
対抗,たいこう,[sound:対抗.ogg],"<img src=""対抗.jpg"">","chống chọi, đối kháng",ためらうことなく、その陰謀にたいする徹底した対抗処置をとった。,Tôi đã không do dự và thực hiện biện pháp đối phó mạnh mẽ với âm mưu đó.,"Without a moment's hesitation, they took drastic action against the conspiracy.",[sound:ためらうことなく、その陰謀にたいする徹底した対抗処置をとった.ogg],ĐỐI 
取り次ぐ,とりつぐ,[sound:取り次ぐ.ogg],,"truyền tải, hồi âm",,,,,THỦ 
取り立てる,とりたてる,[sound:取り立てる.ogg],,"thu hồi, lấy lại, đòi lại",王は人民から税を厳しく取り立てた。,Vua thu thuế nặng từ người dân.,The king exacted taxes from his people.,[sound:王は人民から税を厳しく取り立てた.ogg],THỦ LẬP
転ける,こける,[sound:転ける.ogg],"<img src=""転ける.jpg"">",té ngã,,,,,CHUYỂN
躓く,つまずく,[sound:躓く.ogg],"<img src=""躓く.jpg"">","vấp chân, trượt chân",私は石につまずいて、足首をひねってしまった。,Tôi vấp phải một tảng đá và bị vặn cổ chân.,"I tripped on a stone, twisting my ankle.",[sound:私は石につまずいて、足首をひねってしまった.ogg],
裁判長,さいばんちょう,[sound:裁判長.ogg],,chủ tọa phiên tòa,裁判長は、２時間の休憩を告げた。,Chủ tọa tuyên bố một giờ nghỉ sau.,The judge called for a recess of two hours.,[sound:裁判長は、２時間の休憩を告げた.ogg],TÀI PHÁN TRƯỜNG
懲役,ちょうえき,[sound:懲役.ogg],"<img src=""懲役.jpg"">",đi tù,彼は懲役十年で、女房には三年の刑が下った。,"Anh ấy bị kết án 10 năm tù, còn vợ anh ấy bị kết án 3 năm.",He was given ten years and his wife three.,[sound:彼は懲役十年で、女房には三年の刑が下った.ogg],TRỪNG 
無期,むき,[sound:無期.ogg],"<img src=""無期.jpg"">","tù chung thân, không kỳ hạn",,,,, KỲ
有期,ゆうき,[sound:有期.ogg],"<img src=""有期.jpg"">",có kỳ hạn,,,,,HỮU KỲ
原告,げんこく,[sound:原告.ogg],"<img src=""原告.jpg"">",nguyên cáo,裁判官は原告に不利な判決を下した。,Thẩm phán đã đưa ra một phán quyết bất lợi cho nguyên đơn.,The judge decided against the plaintiff.,[sound:裁判官は原告に不利な判決を下した.ogg],NGUYÊN CÁO
被告,ひこく,[sound:被告.ogg],"<img src=""被告.jpg"">",bị cáo,被告は無罪になった。,Bị cáo được tuyên vô tội.,The accused was found not guilty.,[sound:被告は無罪になった.ogg],BỊ CÁO
微動,びどう,[sound:微動.ogg],,"rung rinh, lắc nhẹ",,,,,VI ĐỘNG
敗退,はいたい,[sound:敗退.ogg],"<img src=""敗退.jpg"">","thất bại, bại trận",ヒンギスが一回戦敗退の大番狂わせ。,Trận thua sớm của Hingis đã làm náo loạn mọi thứ.,It was a big upset when Hingis was eliminated in the first round.,[sound:ヒンギスが一回戦敗退の大番狂わせ.ogg],"BẠI THOÁI,THỐI"
壁紙,かべがみ,[sound:壁紙.ogg],"<img src=""壁紙.jpg"">",giấy dán tường,デスクトップの壁紙を犬の写真にした。,Tôi đã đặt hình ảnh chó làm hình nền trên máy tính để bàn.,I used a photo of my dog for my desktop wallpaper.,[sound:デスクトップの壁紙を犬の写真にした.ogg],BÍCH CHỈ
陶器,とうき,[sound:陶器.ogg],"<img src=""陶器.jpg"">",đồ gốm sứ,陶器は火で焼かれた。,Gốm sứ đã được nung trong lò.,The pottery was baked by fire.,[sound:陶器は火で焼かれた.ogg],ĐÀO KHÍ
矯める,ためる,[sound:矯める.ogg],,"uốn cong, sửa lỗi",,,,,KIỂU
眇める,すがめる,[sound:眇める.ogg],,nheo mắt,,,,,
幼馴染み,おさななじみ,[sound:幼馴染み.ogg],"<img src=""幼馴染み.jpg"">",bạn thời thơ ấu,幼馴染ってこわ・・・。,Hồi nhỏ quen biết nhau thì đáng sợ...,'Childhood friends' are scary.,[sound:幼馴染ってこわ・・・.ogg],ẤU THUẦN NHIỄM
笹舟,ささぶね,[sound:笹舟.ogg],"<img src=""笹舟.jpg"">",thuyền lá trúc (đồ chơi),,,,,"SẬY CHU,CHÂU"
上流,じょうりゅう,[sound:上流.ogg],"<img src=""上流.jpg"">",thượng lưu,橋の上流に私はボートを見た。,Tôi đã thấy một chiếc thuyền ở phía trên dòng sông.,I saw a boat above the bridge.,[sound:橋の上流に私はボートを見た.ogg],THƯỢNG LƯU
下流,かりゅう,[sound:下流.ogg],"<img src=""下流.jpg"">",hạ lưu,まず、私の活動範囲は、おもに養老川下流域です。,"Trước hết, khu vực hoạt động chính của tôi chủ yếu là khu vực hạ lưu của sông Yoro.","First off, my area of work is mainly in the lower reaches of the Yourou River.",[sound:まず、私の活動範囲は、おもに養老川下流域です.ogg],HẠ LƯU
デビュー,デビュー,[sound:デビュー.ogg],"<img src=""デビュー.jpg"">",lần trình diễn đầu tiên,その女優のデビューは８歳の時でした。,Nữ diễn viên đó đã ra mắt khi cô ấy 8 tuổi.,The actress made her debut when she was eight.,[sound:その女優のデビューは８歳の時でした.ogg],
不祥事,ふしょうじ,[sound:不祥事.ogg],,"chuyện bê bối, chuyện tai tiếng",相次ぐ不祥事にも関わらず、警察はオメオメ違反切符を切っている。,"Mặc dù có nhiều vụ bê bối liên tiếp, cảnh sát vẫn đang phát thẻ vi phạm viếng thăm.","Despite their own scandals, the police continue to make arrests as though nothing had happened at all.",[sound:相次ぐ不祥事にも関わらず、警察はオメオメ違反切符を切っている.ogg],BẤT TƯỜNG 
憚る,はばかる,[sound:憚る.ogg],,"do dự, lưỡng lự",憎まれっ子世に憚る。,Đứa trẻ ghét bị ghét.,Ill weeds grow apace.,[sound:憎まれっ子世に憚る.ogg],ĐẠN
傑作,けっさく,[sound:傑作.ogg],"<img src=""傑作.jpg"">",kiệt tác,わははは！そりゃ傑作だ！,Ha ha ha! Đó là một kiệt tác!,A-ha-ha-ha! What a blunder!,[sound:わははは！そりゃ傑作だ！.ogg], TÁC
断言,だんげん,[sound:断言.ogg],"<img src=""断言.jpg"">","nói quả quyết, khẳng định",私は彼が潔白だと断言した。,Tôi khẳng định rằng anh ấy vô tội.,I affirmed that he was innocent.,[sound:私は彼が潔白だと断言した.ogg],"ĐOẠN,ĐOÁN "
探検,たんけん,[sound:探検.ogg],"<img src=""探検.jpg"">",thám hiểm,この探検には、お金がかかる。,Việc khám phá này đòi hỏi tiền bạc.,This expedition will be expensive.,[sound:この探検には、お金がかかる.ogg],THÁM KIỂM
ばれる,バレル,[sound:ばれる.ogg],"<img src=""ばれる.jpg"">",bị bại lộ,中東の石油価格は１バレル当たり５ドルほど跳ね上がりました。,Giá dầu ở Trung Đông đã tăng khoảng 5 đô la mỗi thùng.,Middle Eastern oil prices jumped by five dollars per barrel.,[sound:中東の石油価格は１バレル当たり５ドルほど跳ね上がりました.ogg],
観察,かんさつ,[sound:観察.ogg],"<img src=""観察.jpg"">",quan sát,科学は観察に基づいている。,Khoa học dựa trên quan sát.,Science rests upon observation.,[sound:科学は観察に基づいている.ogg],QUAN SÁT
景品,けいひん,[sound:景品.ogg],"<img src=""景品.jpg"">",quà tặng,その雑誌の購読予約をして景品をもらった。,Tôi đã đặt trước việc đăng ký đọc tạp chí đó và nhận được quà tặng.,I got a premium for subscribing to the magazine.,[sound:その雑誌の購読予約をして景品をもらった.ogg],CẢNH 
産休,さんきゅう,[sound:産休.ogg],,nghỉ sinh,９月３０日から１０月１４日まで産休を取ります。,Tôi sẽ nghỉ thai sản từ ngày 30 tháng 9 đến ngày 14 tháng 10.,I'm taking maternity leave from Sep.30 to Oct.14.,[sound:９月３０日から１０月１４日まで産休を取ります.ogg],SẢN HƯU
代替,だいたい,[sound:代替.ogg],"<img src=""代替.jpg"">",thay thế,切符を申し込まれる際は代替日もご指定ください。,Vui lòng chỉ định ngày thay thế khi yêu cầu vé.,"When applying for tickets, please give alternative dates.",[sound:切符を申し込まれる際は代替日もご指定ください.ogg],ĐẠI THẾ
衝突,しょうとつ,[sound:衝突.ogg],"<img src=""衝突.jpg"">","đâm vào, đụng vào",日米の利害がこの点で衝突した。,Mối quan tâm và lợi ích của Nhật Bản và Mỹ đã xung đột ở điểm này.,Japanese and American interests clashed on this point.,[sound:日米の利害がこの点で衝突した.ogg],XUNG ĐỘT
直進,ちょくしん,[sound:直進.ogg],"<img src=""直進.jpg"">","trực tiến, đi thẳng",,,,,"TRỰC TIẾN,TẤN"
横転,おうてん,[sound:横転.ogg],"<img src=""横転.jpg"">","ngã lộn nhào, té lộn nhào",「ところでよ、そのおめーのおとうさんはどこにいんのさ？」「横転したトラックの下なんよ。」,"""Nhân tiện nói, bố cậu đang ở đâu vậy?"" - ""Dưới dưới cái xe tải lật kia.""","""By the way, where's your old man?"" ""Under that over-turned truck.""",[sound:「ところでよ、そのおめーのおとうさんはどこにいんのさ？」「横転したトラックの下なんよ」.ogg],HOÀNH CHUYỂN
